char,level,strokes_modern,radical,unicode
一,1,1,一,U+4E00
乙,1,1,乙,U+4E59
丁,1,2,一,U+4E01
七,1,2,一,U+4E03
乂,1,2,丿,U+4E42
乃,1,2,丿,U+4E43
乜,1,2,乙,U+4E5C
九,1,2,丿,U+4E5D
了,1,2,乙,U+4E86
二,1,2,二,U+4E8C
人,1,2,人,U+4EBA
儿,1,2,儿,U+513F
入,1,2,入,U+5165
八,1,2,八,U+516B
几,1,2,几,U+51E0
刀,1,2,刀,U+5200
刁,1,2,刀,U+5201
力,1,2,力,U+529B
匕,1,2,匕,U+5315
十,1,2,十,U+5341
卜,1,2,卜,U+535C
厂,1,2,厂,U+5382
又,1,2,又,U+53C8
万,1,3,一,U+4E07
丈,1,3,一,U+4E08
三,1,3,一,U+4E09
上,1,3,一,U+4E0A
下,1,3,一,U+4E0B
与,1,3,一,U+4E0E
个,1,3,丨,U+4E2A
丫,1,3,丨,U+4E2B
丸,1,3,丿,U+4E38
久,1,3,丿,U+4E45
么,1,3,丿,U+4E48
义,1,3,丶,U+4E49
之,1,3,丿,U+4E4B
乞,1,3,乙,U+4E5E
也,1,3,乙,U+4E5F
习,1,3,乙,U+4E60
乡,1,3,乙,U+4E61
亍,1,3,二,U+4E8D
于,1,3,二,U+4E8E
亏,1,3,二,U+4E8F
亡,1,3,亠,U+4EA1
亿,1,3,亻,U+4EBF
伋,1,3,人,U+4F0B
兀,1,3,儿,U+5140
凡,1,3,几,U+51E1
刃,1,3,刀,U+5203
勺,1,3,勹,U+52FA
千,1,3,十,U+5343
卫,1,3,卩,U+536B
叉,1,3,又,U+53C9
及,1,3,又,U+53CA
口,1,3,口,U+53E3
土,1,3,土,U+571F
士,1,3,士,U+58EB
夕,1,3,夕,U+5915
大,1,3,大,U+5927
女,1,3,女,U+5973
子,1,3,子,U+5B50
孑,1,3,子,U+5B51
孓,1,3,子,U+5B53
寸,1,3,寸,U+5BF8
小,1,3,小,U+5C0F
尢,1,3,尢,U+5C22
尸,1,3,尸,U+5C38
山,1,3,山,U+5C71
川,1,3,川,U+5DDD
工,1,3,工,U+5DE5
己,1,3,己,U+5DF1
已,1,3,己,U+5DF2
巳,1,3,巳,U+5DF3
巾,1,3,巾,U+5DFE
干,1,3,干,U+5E72
幺,1,3,幺,U+5E7A
广,1,3,广,U+5E7F
弋,1,3,弋,U+5F0B
弓,1,3,弓,U+5F13
彳,1,3,彳,U+5F73
才,1,3,扌,U+624D
浭,1,3,氵,U+6D6D
不,1,4,一,U+4E0D
丏,1,4,一,U+4E0F
丐,1,4,一,U+4E10
丑,1,4,一,U+4E11
专,1,4,一,U+4E13
中,1,4,丨,U+4E2D
丰,1,4,丨,U+4E30
丹,1,4,丶,U+4E39
为,1,4,丶,U+4E3A
乌,1,4,丿,U+4E4C
乏,1,4,丿,U+4E4F
书,1,4,乛,U+4E66
予,1,4,亅,U+4E88
云,1,4,二,U+4E91
互,1,4,二,U+4E92
亓,1,4,二,U+4E93
五,1,4,二,U+4E94
井,1,4,二,U+4E95
亢,1,4,亠,U+4EA2
什,1,4,亻,U+4EC0
仁,1,4,亻,U+4EC1
仂,1,4,亻,U+4EC2
仃,1,4,亻,U+4EC3
仄,1,4,人,U+4EC4
仅,1,4,亻,U+4EC5
仆,1,4,亻,U+4EC6
仇,1,4,亻,U+4EC7
仉,1,4,亻,U+4EC9
今,1,4,人,U+4ECA
介,1,4,人,U+4ECB
仍,1,4,亻,U+4ECD
从,1,4,人,U+4ECE
仑,1,4,人,U+4ED1
仓,1,4,人,U+4ED3
以,1,4,人,U+4EE5
佖,1,4,人,U+4F56
允,1,4,儿,U+5141
元,1,4,儿,U+5143
公,1,4,八,U+516C
六,1,4,八,U+516D
兮,1,4,八,U+516E
内,1,4,冂,U+5185
冈,1,4,冂,U+5188
冗,1,4,冖,U+5197
凤,1,4,几,U+51E4
凶,1,4,凵,U+51F6
分,1,4,刀,U+5206
切,1,4,刀,U+5207
刈,1,4,刂,U+5208
劝,1,4,力,U+529D
办,1,4,力,U+529E
勾,1,4,勹,U+52FE
勿,1,4,勹,U+52FF
匀,1,4,勹,U+5300
化,1,4,匕,U+5316
匹,1,4,匚,U+5339
区,1,4,匚,U+533A
卅,1,4,十,U+5345
升,1,4,十,U+5347
午,1,4,十,U+5348
卞,1,4,卜,U+535E
卬,1,4,卩,U+536C
厄,1,4,厂,U+5384
厅,1,4,厂,U+5385
历,1,4,厂,U+5386
友,1,4,又,U+53CB
双,1,4,又,U+53CC
反,1,4,又,U+53CD
坒,1,4,土,U+5752
埗,1,4,土,U+57D7
堐,1,4,土,U+5810
壬,1,4,士,U+58EC
天,1,4,大,U+5929
太,1,4,大,U+592A
夫,1,4,大,U+592B
夬,1,4,大,U+592C
夭,1,4,大,U+592D
孔,1,4,子,U+5B54
少,1,4,小,U+5C11
尤,1,4,尢,U+5C24
尹,1,4,尸,U+5C39
尺,1,4,尸,U+5C3A
屯,1,4,屮,U+5C6F
岠,1,4,山,U+5CA0
巨,1,4,工,U+5DE8
巴,1,4,巳,U+5DF4
币,1,4,巾,U+5E01
帨,1,4,巾,U+5E28
幻,1,4,幺,U+5E7B
廿,1,4,廾,U+5EFF
开,1,4,廾,U+5F00
引,1,4,弓,U+5F15
心,1,4,心,U+5FC3
忆,1,4,忄,U+5FC6
悈,1,4,忄,U+6088
戈,1,4,戈,U+6208
户,1,4,户,U+6237
手,1,4,手,U+624B
扎,1,4,扌,U+624E
支,1,4,支,U+652F
文,1,4,文,U+6587
斗,1,4,斗,U+6597
斤,1,4,斤,U+65A4
方,1,4,方,U+65B9
无,1,4,无,U+65E0
日,1,4,日,U+65E5
曰,1,4,曰,U+66F0
月,1,4,月,U+6708
木,1,4,木,U+6728
欠,1,4,欠,U+6B20
止,1,4,止,U+6B62
