char,pinyin_main,strokes_modern,radical,structure,wubi
一,yī,1,一,独体,g
乙,yǐ,1,乙,独体,nnl
丁,dīnɡ,2,一,独体,sgh
七,qī,2,一,独体,ag
乂,yì,2,丿,独体,qty
乃,nǎi,2,丿,独体,etn
乜,niè,2,乙,独体,nnv
九,jiǔ,2,丿,独体,vt
了,le,2,乙,独体,b
二,èr,2,二,独体,fg
人,rén,2,人,独体,w
儿,ér,2,儿,独体,qt
入,rù,2,入,独体,ty
八,bā,2,八,独体,wty
几,jǐ,2,几,独体,mt
刀,dāo,2,刀,包围,vn
刁,diāo,2,刀,独体,ngd
力,lì,2,力,独体,lt
匕,bǐ,2,匕,独体,xtn
十,shí,2,十,独体,fgh
卜,bo,2,卜,独体,hhy
厂,chǎnɡ,2,厂,独体,dgt
又,yòu,2,又,独体,ccc
万,wàn,3,一,独体,dnv
丈,zhànɡ,3,一,独体,dyi
三,sān,3,一,独体,dg
上,shànɡ,3,一,独体,h
下,xià,3,一,独体,gh
与,yǔ,3,一,独体,gn
个,ɡè,3,丨,独体,wh
丫,yā,3,丨,独体,uhk
丸,wán,3,丿,独体,vyi
久,jiǔ,3,丿,独体,qy
么,me,3,丿,独体,tc
义,yì,3,丶,独体,yq
之,zhī,3,丿,独体,pp
乞,qǐ,3,乙,独体,tnb
也,yě,3,乙,独体,bn
习,xí,3,乙,独体,nu
乡,xiānɡ,3,乙,独体,xte
亍,chù,3,二,独体,fhk
于,yú,3,二,独体,gf
亏,kuī,3,二,独体,fnv
亡,wánɡ,3,亠,独体,ynv
亿,yì,3,亻,左右,wn
伋,fán,3,人,独体,weyy
兀,wū,3,儿,上下,gqv
凡,fán,3,几,独体,my
刃,rèn,3,刀,独体,vyi
勺,sháo,3,勹,独体,qyi
千,qiān,3,十,上下,tfk
卫,wèi,3,卩,独体,bg
叉,chā,3,又,包围,cyi
及,jí,3,又,独体,ey
口,kǒu,3,口,独体,kkkk
土,tǔ,3,土,独体,ffff
士,shì,3,士,独体,fghg
夕,xī,3,夕,独体,qtny
大,dà,3,大,独体,dd
女,nǚ,3,女,独体,vvv
子,zǐ,3,子,独体,bb
孑,jié,3,子,独体,bnhg
孓,jué,3,子,独体,byi
寸,cùn,3,寸,独体,fghy
小,xiǎo,3,小,独体,ih
尢,yóu,3,尢,独体,dnv
尸,shī,3,尸,独体,nngt
山,shān,3,山,独体,mmm
川,chuān,3,川,独体,kthh
工,ɡōnɡ,3,工,独体,a
己,jǐ,3,己,独体,nng
