char,pinyin_teochew,tone,accent,is_colloquial,is_literary
㵐,kiak4,4,揭阳,False,False
㵐,kiak4,4,汕头,False,False
㵐,kiek4,4,潮州,False,False
㵐,kiak4,4,潮阳,False,False
㵐,kiak4,4,澄海,False,False
㵐,kiak4,4,饶平,False,False
一,ek4,4,揭阳,False,False
一,zek8,8,揭阳,False,False
一,iau1,1,汕头,False,False
一,ik4,4,汕头,False,False
一,zek8,8,汕头,False,False
一,ik4,4,潮州,False,False
一,iou1,1,潮州,False,False
一,zek8,8,潮州,False,False
一,ik4,4,潮阳,False,False
一,zek8,8,潮阳,False,False
一,ik4,4,澄海,False,False
一,zek8,8,澄海,False,False
一,ik4,4,饶平,False,False
一,zek8,8,饶平,False,False
丁,deng1,1,揭阳,False,False
丁,zeng1,1,揭阳,False,False
丁,deng1,1,汕头,False,False
丁,zeng1,1,汕头,False,False
丁,deng1,1,潮州,False,False
丁,zeng1,1,潮州,False,False
丁,deng1,1,潮阳,False,False
丁,zeng1,1,潮阳,False,False
丁,deng1,1,澄海,False,False
丁,zeng1,1,澄海,False,False
丁,deng1,1,饶平,False,False
丁,zeng1,1,饶平,False,False
七,cek4,4,揭阳,False,False
七,cik4,4,汕头,False,False
七,cik4,4,潮州,False,False
七,cik4,4,潮阳,False,False
七,cik4,4,澄海,False,False
七,cik4,4,饶平,False,False
万,mok8,8,揭阳,False,False
万,mok8,8,汕头,False,False
万,mok8,8,潮州,False,False
万,mok8,8,潮阳,False,False
万,mok8,8,澄海,False,False
万,mok8,8,饶平,False,False
丈,dion6,6,揭阳,False,False
丈,dng6,6,揭阳,False,False
丈,ziang6,6,揭阳,False,False
丈,dion6,6,汕头,False,False
丈,dvng6,6,汕头,False,False
丈,ziang6,6,汕头,False,False
丈,dien6,6,潮州,False,False
丈,dvng6,6,潮州,False,False
丈,ziang6,6,潮州,False,False
丈,dion6,6,潮阳,False,False
丈,dng6,6,潮阳,False,False
丈,ziang6,6,潮阳,False,False
丈,dien6,6,澄海,False,False
丈,dvng6,6,澄海,False,False
丈,ziang6,6,澄海,False,False
丈,dion6,6,饶平,False,False
丈,dng6,6,饶平,False,False
丈,ziang6,6,饶平,False,False
三,sam1,1,揭阳,False,False
三,san1,1,揭阳,False,False
