char,gender_tendency,frequency_rank,heat_level,era_tag
英,F,1,爆款,1970后/1980后/1990后
华,N,2,爆款,1980后/1990后/2000后
玉,F,3,爆款,1980后/1990后/2000后
秀,F,4,爆款,1970后/1980后/1990后
文,M,5,爆款,1980后/1990后/2000后
明,M,6,爆款,1980后/1990后/2000后
兰,F,7,爆款,1970后/1980后/1990后
金,N,8,爆款,1980后/1990后/2000后
春,F,9,爆款,1970后/1980后/1990后
国,M,10,爆款,1980后/1990后/2000后
梅,F,11,爆款,1980后/1990后/2000后
丽,F,12,爆款,1980后/1990后/2000后
红,F,13,爆款,1970后/1980后/1990后
平,M,14,爆款,1970后/1980后/1990后
小,F,15,爆款,1980后/1990后/2000后
云,F,16,爆款,1970后/1980后/1990后
海,M,17,爆款,1980后/1990后/2000后
芳,F,18,爆款,1980后/1990后/2000后
建,M,19,爆款,1980后/1990后/2000后
荣,F,20,爆款,1960后/1970后/1980后
珍,F,21,高,1970后/1980后/1990后
志,M,22,高,1980后/1990后/2000后
凤,F,23,高,1970后/1980后/1990后
桂,F,24,高,1960后/1970后/1980后
林,M,25,高,1980后/1990后/2000后
永,M,26,高,1980后/1990后/2000后
军,M,27,高,1970后/1980后/1990后
艳,F,28,高,1980后/1990后/2000后
玲,F,29,高,1980后/1990后/2000后
霞,F,30,高,1970后/1980后/1990后
晓,F,31,高,1980后/1990后/2000后
德,M,32,高,1960后/1970后/1980后
美,F,33,高,1980后/1990后/2000后
伟,M,34,高,1980后/1990后/2000后
香,F,35,高,1960后/1970后/1980后
成,M,36,高,1980后/1990后/2000后
花,F,37,高,1960后/1970后/1980后
淑,F,38,高,1950后/1960后/1970后
龙,M,39,高,1980后/1990后/2000后
爱,F,40,高,1960后/1970后/1980后
琴,F,41,高,1970后/1980后/1990后
燕,F,42,高,1980后/1990后/2000后
新,M,43,高,1960后/1970后/1980后
生,M,44,高,1950后/1960后/1970后
强,M,45,高,1980后/1990后/2000后
娟,F,46,高,1970后/1980后/1990后
清,N,47,高,1950后/1960后
芬,F,48,高,1960后/1970后/1980后
辉,M,49,高,1980后/1990后/2000后
杰,M,50,高,1980后/1990后/2000后
东,M,51,高,1980后/1990后/2000后
忠,M,52,高,1950后/1960后/1970后
兴,M,53,高,1960后/1970后/1980后
福,M,54,高,1950后/1960后/1970后
祥,M,55,高,1980后/1990后/2000后
光,M,56,高,1960后/1970后/1980后
学,M,57,高,1950后/1960后/1970后
连,F,58,高,1950后/1960后/1970后
雪,F,59,高,1980后/1990后/2000后
萍,F,60,高,1980后/1990后/2000后
俊,M,61,高,1980后/1990后/2000后
